SampleNo,DriverGender,DriverAge,YearsLicensed,Licensed Age,WindscreenExtension,RentalCar,Alarm,GarageType,FinanceType,StandardExcess,LicenceType,CurrentInsurer,Modified,Num Claims,Num Claims in 3 years,Num Claims in 5 years,Vehicle Sum Insured,TypeOfUse,CoverType,ExistingPolicies,RoadsideRescue,Other Accessories,Additional Driver,AAMember_B,Start Date,Immobliser,HasPassengerFare,HasTradeUse,HCusinessUseType,IsACustomer,Vehicle Year,Make,Model,gd2000_xcoord,gd2000_ycoord,X_Coord,Y_Coord
42,Male,35,15,20,No,No,Yes,Garage,NO,400,NZFULL,H,No,1,0,1,9833,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2010,Toyota,Camry,172.555164,-43.50037612,1564037.736,5183520.75
43,Male,35,16,19,No,No,Yes,Driveway,NO,400,NZFULL,C,No,1,0,1,19240,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2011,Hyundai,Santa Fe,172.5621121,-43.51647543,1564608.856,5181735.765
44,Male,40,21,19,No,No,No,Garage,NO,400,NZFULL,H,No,0,0,0,15797,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2013,Nissan,Navara Dx,172.5305069,-43.55478088,1562078.457,5177467.675
45,Female,22,0,22,No,No,No,Garage,NO,400,NZFULL,H,No,0,0,0,42750,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2017,Mazda,Mazda6,172.5455255,-43.5220742,1563271.682,5181106.785
46,Male,36,18,18,No,No,No,Driveway,NO,400,NZRESTRICTED,H,No,2,1,2,20900,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2013,Honda,Crz,172.671692,-43.51216907,1573463.484,5182254.798
47,Male,35,15,20,No,No,No,Driveway,NO,400,NZFULL,B,No,1,1,1,10593,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2012,Hyundai,Accent,172.682121,-43.49936018,1574301.007,5183680.604
48,Female,22,2,20,No,No,No,Carport,NO,400,NZFULL,E,No,0,0,0,27250,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2016,Holden,Malibu,172.6967802,-43.51192795,1575491.219,5182289.271
49,Female,42,25,17,No,No,No,Driveway,NO,400,NZFULL,F,No,0,0,0,21303,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2014,Mazda,Bt-50,172.6903594,-43.51295545,1574972.66,5182173.248
50,Male,25,7,18,No,No,No,Garage,NO,400,NZFULL,A,No,0,0,0,12517,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2012,Mazda,Mazda2,172.6626564,-43.50365745,1572729.321,5183197.163
51,Female,36,18,18,No,No,No,Garage,NO,400,NZFULL,J,No,2,1,2,10137,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2009,Kia,Cerato,172.6162882,-43.48132107,1568969.503,5185661.561
52,Male,20,2,18,No,No,Yes,Driveway,NO,400,NZFULL,H,No,0,0,0,40200,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2019,Mazda,Mazda6,172.5977764,-43.47170263,1567467.306,5186722.698
53,Male,24,5,19,No,No,Yes,Garage,NO,400,NZFULL,F,No,2,1,2,19457,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2009,Mazda,Mx-5,172.648429,-43.4594798,1571558.469,5188098.676
54,Male,44,26,18,No,No,No,Carport,NO,400,NZFULL,D,No,0,0,0,25680,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2015,Toyota,86,172.6083461,-43.46006987,1568316.132,5188018.678
55,Female,26,8,18,No,No,No,Driveway,NO,400,NZFULL,H,No,0,0,0,34963,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2015,Subaru,Forester,176.1163914,-37.68395473,1874815.434,5824678.592
56,Female,45,25,20,No,No,No,Driveway,NO,400,NZFULL,B,No,0,0,0,53033,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2014,BMW,X4,176.125216,-37.70372173,1875520.574,5822458.743
57,Male,51,31,20,No,No,Yes,Driveway,NO,400,NZFULL,B,No,0,0,0,24100,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2019,Peugeot,208,176.1163386,-37.70497392,1874733.115,5822345.868
58,Male,32,14,18,No,No,No,Driveway,NO,400,NZFULL,J,No,0,0,0,22713,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2010,Mercedes-Benz,C300,176.1359084,-37.69760495,1876486.206,5823106.097
59,Female,27,9,18,No,No,Yes,Garage,NO,400,NZFULL,J,No,1,0,1,36850,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2017,Toyota,Camry,176.1239698,-37.70037782,1875423.069,5822833.547
60,Female,17,0,17,No,No,Yes,Carport,NO,400,NZFULL,H,No,0,0,0,18760,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2014,Holden,Cruze,176.1211374,-37.69584955,1875190.047,5823344.465
61,Male,22,4,18,No,No,No,Carport,NO,400,NZFULL,J,No,0,0,0,24230,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2016,Nissan,Navara Rx,176.0840951,-38.71932048,1868137.528,5709853.511
62,Male,18,0,18,No,No,No,Driveway,NO,400,NZFULL,F,No,1,1,1,26073,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2012,Ford,Ranger,176.0926845,-38.71068893,1868916.845,5710786.414
63,Female,34,17,17,No,No,No,Driveway,NO,400,NZFULL,D,No,0,0,0,20007,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2011,Citroen,C5,176.088006,-38.69532302,1868567.487,5712505.782
64,Male,49,25,24,No,No,No,Garage,AA Finance,400,NZFULL,D,No,0,0,0,215650,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2018,Porsche,911,176.1015077,-38.6848693,1869781.301,5713626.455
65,Male,25,6,19,No,No,Yes,Driveway,NO,400,NZFULL,H,No,0,0,0,30217,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2015,Kia,Sportage,176.0909535,-38.71896475,1868735.272,5709872.874
66,Female,40,21,19,No,No,Yes,Garage,NO,400,NZFULL,E,No,0,0,0,8693,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2006,Toyota,Caldina,176.138186,-37.67589275,1876767.84,5825509.171
67,Female,62,41,21,No,No,Yes,Driveway,AA Finance,400,NZFULL,G,No,2,2,2,11097,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2011,Holden,Cruze,176.1440766,-37.66905317,1877312.97,5826250.856
68,Female,46,27,19,No,No,Yes,Driveway,NO,400,NZFULL,F,No,0,0,0,19263,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2010,Mitsubishi,Challenger,176.1178046,-37.69071905,1874915.086,5823923.684
69,Female,36,17,19,No,No,Yes,Driveway,NO,400,NZRESTRICTED,E,No,0,0,0,26500,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2015,Mitsubishi,Triton,176.1403899,-37.66423003,1877005.661,5826797.08
70,Male,49,30,19,No,No,Yes,Garage,NO,400,NZLEARNERS,H,No,3,1,3,23187,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2016,Alfa Romeo,Giulietta,176.1222069,-37.66976455,1875380.904,5826236.442
71,Female,28,10,18,No,No,No,Driveway,NO,400,NZFULL,B,No,0,0,0,30175,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2013,Mazda,Mx-5,176.125896,-37.68505132,1875649.734,5824528.938
72,Female,29,10,19,No,No,No,Garage,NO,400,NZFULL,E,No,0,0,0,32310,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2012,Holden,Commodore,176.1473725,-37.66724052,1877610.509,5826442.273
73,Female,23,6,17,No,No,Yes,Garage,NO,400,NZFULL,J,No,0,0,0,44600,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2018,Kia,Sorento,176.1359394,-37.66446477,1876612.121,5826784.181
74,Male,49,25,24,No,No,No,Carport,NO,400,Australian,B,No,0,0,0,20117,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2016,Kia,Cerato,176.120265,-37.70330927,1875085.508,5822519.088
75,Male,16,0,16,No,No,Yes,Garage,NO,400,NZFULL,H,No,0,0,0,42343,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2017,Kia,Carnival,176.1611002,-37.69161967,1878730.316,5823695.669
76,Female,29,11,18,No,No,Yes,Carport,NO,400,NZFULL,C,No,0,0,0,16427,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2009,Mazda,Bt-50,176.1353461,-37.68566605,1876480.996,5824432.839
77,Male,25,2,23,No,No,No,Carport,NO,400,NZFULL,E,No,0,0,0,44433,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2011,Volvo,Xc90,176.139855,-37.68511245,1876880.761,5824480.955
78,Female,23,4,19,No,No,No,Garage,NO,400,NZRESTRICTED,C,No,0,0,0,60360,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2019,Alfa Romeo,Giulia,176.1477928,-37.67588767,1877615.334,5825481.292
79,Male,50,29,21,No,No,No,Driveway,NO,400,NZFULL,E,No,1,0,1,8590,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2009,Hyundai,I30,172.6929618,-43.50376658,1575179.24,5183194.527
80,Male,48,29,19,No,No,No,Driveway,NO,400,NZFULL,A,No,0,0,0,20593,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2011,Mazda,Cx-7,172.7087381,-43.51533608,1576459.083,5181914.222
81,Male,66,48,18,No,No,No,Garage,NO,400,NZFULL,C,No,0,0,0,6950,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2004,Honda,Accord,172.6919119,-43.52120468,1575101.537,5181257.567
82,Female,23,4,19,No,No,No,H,AA Finance,400,NZRESTRICTED,J,No,1,1,1,40090,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2015,Toyota,Hilux,172.7001796,-43.51466472,1575767.083,5181986.326
83,Male,51,33,18,No,No,No,Garage,NO,400,NZFULL,B,No,0,0,0,11850,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2015,Suzuki,Swift,172.6633665,-43.49214763,1572781.556,5184475.655
84,Male,72,50,22,No,No,No,Driveway,NO,400,NZFULL,D,No,0,0,0,19307,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2016,Holden,Cruze,170.8170002,-45.33369328,1428948.263,4977661.312
85,Female,33,15,18,No,No,No,Street,NO,400,NZRESTRICTED,H,No,2,2,2,26383,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2015,Hyundai,Sonata,170.8138946,-45.32946993,1428692.183,4978123.895
86,Male,48,24,24,No,No,No,Garage,NO,400,Australian,E,No,0,0,0,118450,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2019,Alfa Romeo,Giulia,170.8162729,-45.31875642,1428846.278,4979319.146
87,Female,26,3,23,No,No,Yes,Driveway,NO,400,NZFULL,E,No,0,0,0,103575,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2015,Audi,Q7,170.817242,-45.32379968,1428937.417,4978760.935
88,Male,39,7,32,No,No,No,Driveway,NO,400,NZFULL,H,No,0,0,0,23627,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2016,Suzuki,Vitara,174.5226294,-36.29725533,1736718.975,5982005.211
89,Female,40,22,18,No,No,Yes,Garage,NO,400,NZFULL,H,No,0,0,0,27177,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2014,Toyota,Rav4,175.2946845,-40.63846778,1794045.094,5498843.733
90,Male,31,12,19,No,No,No,Garage,NO,400,NZFULL,A,No,0,0,0,43440,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2018,Mazda,Mazda6,174.9917293,-36.88742313,1777487.243,5915763.89
91,Female,59,40,19,No,No,No,Driveway,NO,400,NZFULL,J,No,0,0,0,22593,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2017,Suzuki,Vitara,174.1933301,-39.15700123,1703105.323,5665122.537
92,Female,19,0,19,No,No,No,Garage,NO,400,NZLEARNERS,H,No,0,0,0,17400,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2014,Peugeot,208,172.3779544,-43.59275257,1549788.139,5173169.669
93,Male,31,12,19,No,No,Yes,Carport,NO,400,NZFULL,H,No,3,0,2,72800,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2019,Volkswagen,Amarok,174.7627516,-36.84816062,1757161.051,5920521.364
94,Male,80,62,18,No,No,No,Carport,NO,400,NZFULL,D,No,0,0,0,32200,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2019,Volkswagen,Caddy,171.2248783,-44.37673538,1458584.294,5084750.274
95,Female,34,16,18,No,No,No,Carport,NO,400,NZFULL,C,No,0,0,0,56320,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2019,Volkswagen,Crafter,176.98605,-37.95721653,1950237.088,5791431.637
96,Male,67,49,18,No,No,Yes,Carport,NO,400,NZFULL,B,No,0,0,0,18997,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2011,Nissan,Navara Rx,174.793232,-36.611312,1760370.827,5946747.658
97,Male,29,10,19,No,No,No,Street,NO,400,Australian,G,No,0,0,0,32125,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2016,Hyundai,I40,175.5064795,-41.0366283,1810691.419,5454150.135
98,Female,68,36,32,No,No,No,Driveway,NO,400,NZLEARNERS,C,No,0,0,0,21200,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2014,Mitsubishi,Triton,176.9799454,-37.95716212,1949700.75,5791460.658
99,Female,23,5,18,No,No,Yes,Garage,NO,400,NZFULL,J,No,4,3,4,46513,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2012,Toyota,Landcruiser,172.5743816,-43.50259393,1565592.623,5183282.568
100,Male,41,4,37,No,No,No,Garage,NO,400,NZFULL,H,No,0,0,0,34093,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2015,Toyota,Rav4,172.5667309,-43.49533803,1564969.938,5184085.204
101,Male,58,33,25,No,No,No,Driveway,NO,400,NZFULL,F,No,0,0,0,62050,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2017,Jeep,Grand Cherokee,172.5654726,-43.50010248,1564870.966,5183555.542
102,Male,24,6,18,No,No,Yes,Driveway,AA Finance,400,NZFULL,B,No,0,0,0,28100,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2016,Mazda,Cx-3,172.6177044,-43.4988312,1569092.961,5183717.448
103,Male,28,9,19,No,No,No,Driveway,NO,400,NZFULL,H,No,0,0,0,18737,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2014,Toyota,Camry,173.2242469,-41.31325127,1618769.942,5426443.878
104,Female,31,13,18,No,No,No,Carport,NO,400,NZRESTRICTED,E,No,0,0,0,31533,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2016,Mini,Countryman,173.2490703,-41.30435632,1620850.548,5427425.69
105,Female,25,6,19,No,No,Yes,Driveway,NO,400,NZFULL,C,No,0,0,0,34007,Private Use,COMPREHENSIVE,No,No,No,0,No,TOMORROW,No,No,No,No,No,2015,Isuzu,D-Max,173.2696475,-41.2650246,1622586.698,5431786.96
106,Male,59,41,18,No,No,No,Garage,NO,400,NZFULL,D,No,3,1,3,30350,Private Use,COMPREHENSIVE,No,No,No,0,No,TODAY,No,No,No,No,No,2018,Hyundai,Tucson,173.2544987,-41.30660542,1621304.247,5427174.687
